Timestamp;RSSI
1696152591133;124
1696152591295;179
1696152591480;201
1696152591761;206
1696152591931;207
1696152592106;205
1696152592637;154
1696152592812;191
1696152592967;195
1696152593193;140
1696152593381;212
1696152593550;203
1696152593713;150
1696152593915;197
1696152594083;201
1696152594259;212
1696152594545;159
1696152594785;212
1696152595036;149
1696152595307;153
1696152595580;151
1696152595823;144
1696152596080;154
1696152596336;144
1696152596638;145
1696152596969;196
1696152597153;205
1696152597333;209
1696152597582;207
1696152597740;205
1696152597923;207
1696152598462;148
1696152598629;190
1696152598802;188
1696152599075;181
1696152599245;198
1696152599425;197
1696152599652;140
1696152599847;208
1696152600026;207
1696152600282;149
1696152600545;150
1696152602767;122
1696152602938;179
1696152603115;196
1696152603385;191
1696152603563;197
1696152603736;206
1696152603974;143
1696152604258;144
1696152604431;197
1696152604604;193
1696152604849;135
1696152605035;203
1696152605222;211
1696152605446;146
1696152605639;203
1696152605818;197
1696152606044;139
1696152606312;150
1696152606501;219
1696152606747;156
1696152607016;144
1696152607368;151
1696152607656;160
1696152607917;156
1696152608180;148
1696152608446;145
1696152608650;211
1696152608826;209
1696152608998;206
1696152609223;203
1696152609395;206
1696152609566;204
1696152609827;142
1696152610109;197
1696152610276;204
1696152610443;206
1696152610706;205
1696152610892;200
1696152611066;205
1696152611304;203
1696152611472;210
1696152611639;205
1696152611900;143
1696152612198;201
1696152612368;150
1696152612639;149
1696152612900;143
1696152613156;147
1696152613419;149
1696152613683;150
1696152613965;147
1696152614230;150
1696152614444;208
1696152614619;202
1696152614795;199
1696152615025;200
1696152615192;194
1696152615353;202
1696152615610;140
1696152615901;200
1696152616065;202
1696152616233;199
1696152616498;187
1696152616669;199
1696152616837;199
1696152617066;138
1696152617233;209
1696152617409;203
1696152617582;150
1696152617841;147
1696152618054;210
1696152618281;141
1696152618595;145
1696152618882;146
1696152619154;147
1696152619432;148
1696152619708;147
